Row Labels	Sum of Sales units	Sum of Turnover	Sum of MonthYear
Admin	55125	0	2790.75
all	2027891100	7113112395	2790.75
avg	1076470.714	3721392.943	
Checkout	2027891100	6956143116	2790.75
Clothing	107355685	873950895	2790.75
count	7650	7650	
Customer Services	55125	0	2790.75
Delivery	123271190	392573991	2790.75
Dry	255486810	970304667	2790.75
Fish	213322005	358029219	2790.75
Food	1855401225	5688085284	2790.75
Frozen	58076090	335094954	2790.75
Fruits & Vegetables	113797865	234912939	2790.75
Hardware	27999810	206766261	2790.75
Household	37134380	220345365	2790.75
max	11242955	42717390	
Meat	919849420	3407046399	2790.75
min	0	0	
Non Food	172489875	1267034010	2790.75
other	294869035	445256520	2790.75
others	55125	0	2790.75
sum	8235000965	28468656015	
Grand Total	16482329006	56983758463	47442.75
